name;field;year_birth;year_prize;year_research_mid;year_death;TheoryOrTheoryAndEmpirical;age_highdegree
Rainwater, James;Physics;1917;1975;1950;1986;1;29
Richter, Burton;Physics;1931;1976;1974;;0;25
Ting, Samuel C.C.;Physics;1936;1976;1974;;0;26
Mott, Nevill Francis;Physics;1905;1977;1968;1996;1;25
van Vleck, John H.;Physics;1899;1977;1932;1980;1;23
Kapitsa, Pjotr Leonidovich;Physics;1894;1978;1938;1984;0;29
Penzias, Arno;Physics;1933;1978;1965;;0;29
Wilson, Robert Woodrow;Physics;1936;1978;1965;;0;26
Glashow, Sheldon;Physics;1932;1979;1964;;1;27
Salam, Abdus;Physics;1926;1979;1968;1996;1;26
Weinberg, Steven;Physics;1933;1979;1967;;1;24
Cronin, James;Physics;1931;1980;1964;;0;24
Fitch, Val;Physics;1923;1980;1964;;0;31
Bloembergen, Nicolaas;Physics;1920;1981;1958;;0;28
Schawlow, Arthur L.;Physics;1921;1981;1958;1999;0;28
Siegbahn, Kai M.;Physics;1918;1981;1957;;0;26
Wilson, Kenneth G.;Physics;1936;1982;1971;;1;25
Chandrasekhar, Subramanyan;Physics;1910;1983;1935;1995;1;23
Fowler, William A.;Physics;1911;1983;1957;1995;1;25
Meer, Simon van der;Physics;1925;1984;1982;;0;27
Rubbia, Carlo;Physics;1934;1984;1982;;0;23
Klitzing, Klaus von;Physics;1943;1985;1980;;0;29
Binnig, Gerd;Physics;1947;1986;1981;;0;31
Rohrer, Heinrich;Physics;1933;1986;1981;;0;27
Ruska, Ernst;Physics;1906;1986;1933;1988;0;28
Bednorz, J. Georg;Physics;1950;1987;1986;;0;32
Muller, K. Alex;Physics;1927;1987;1986;;0;31
Lederman, Leon M.;Physics;1922;1988;1963;;0;29
Schwartz, Melvin;Physics;1932;1988;1962;;0;26
Steinberger, Jack;Physics;1921;1988;1962;;0;27
Dehmelt, Hans G.;Physics;1922;1989;1973;;0;28
Paul, Wolfgang;Physics;1913;1989;1958;1993;0;26
Ramsey, Norman F.;Physics;1915;1989;1949;;0;25
Friedman, Jerome I.;Physics;1930;1990;1968;;0;26
Kendall, Henry W.;Physics;1926;1990;1968;;0;29
Taylor, Richard E.;Physics;1929;1990;1968;;0;33
Gennes, Pierre-Gilles de;Physics;1932;1991;1976;;0;23
Charpak, Georges;Physics;1924;1992;1968;;0;30
Hulse, Russell A.;Physics;1950;1993;1974;;0;25
Taylor, Joseph H. Jr.;Physics;1941;1993;1974;;0;27
Brockhouse, Bertram N.;Physics;1918;1994;1955;;0;32
Shull, Clifford G.;Physics;1915;1994;1951;;0;26
Perl, Martin L.;Physics;1927;1995;1974;;0;28
Reines, Frederick;Physics;1918;1995;1953;;0;26
Lee, David M.;Physics;1931;1996;1972;;0;28
Osheroff, Douglas D.;Physics;1945;1996;1972;;0;28
Richardson, Robert C.;Physics;1937;1996;1972;;0;29
Chu, Steven;Physics;1948;1997;1985;;0;28
Cohen-Tannoudji, Claude;Physics;1933;1997;1995;;0;29
Phillips, William D.;Physics;1948;1997;1988;;0;28
Laughlin, Robert B.;Physics;1950;1998;1983;;1;29
Stormer, Horst L.;Physics;1949;1998;1982;;0;28
Tsui, Daniel C.;Physics;1939;1998;1982;;0;28
Hooft, Gerardus 't;Physics;1946;1999;1970;;1;26
Veltman, Martinus J.G.;Physics;1931;1999;1970;;1;32
Alferov, Zhores I.;Physics;1930;2000;1966;;0;22
Kilby, Jack S.;Physics;1923;2000;1958;;0;35
Kroemer, Herbert;Physics;1928;2000;1960;;1;24
Cornell, Eric A.;Physics;1961;2001;1995;;0;29
Ketterle, Wolfgang;Physics;1957;2001;1995;;0;29
Wieman, Carl E.;Physics;1951;2001;1995;;0;26
Davis, Raymond Jr.;Physics;1914;2002;1994;;0;28
Giacconi, Riccardo;Physics;1931;2002;1969;;0;23
Koshiba, Masatoshi;Physics;1926;2002;1987;;0;29
Abrikosov, Alexei A.;Physics;1928;2003;1957;;1;23
Ginzburg, Vitaly L.;Physics;1916;2003;1950;;1;26
Leggett, Anthony J.;Physics;1938;2003;1972;;1;26
Gross, David J.;Physics;1941;2004;1973;;0;25
Politzer, H. David;Physics;1949;2004;1973;;0;25
Wilczek, Frank;Physics;1951;2004;1973;;0;23
Glauber, Roy J.;Physics;1925;2005;1963;;0;24
Hall, John L.;Physics;1934;2005;2000;;0;27
Hansch, Theodor W.;Physics;1941;2005;1999;;0;28
Mather, John C.;Physics;1946;2006;1990;;0;28
Smoot, George F.;Physics;1945;2006;1992;;0;25
Fert, Albert;Physics;1938;2007;1988;;0;32
Grunberg, Peter;Physics;1939;2007;1988;;0;30
Kobayashi, Makoto;Physics;1944;2008;1972;;0;28
Maskawa, Toshihide;Physics;1940;2008;1972;;0;27
Nambu, Yoichiro;Physics;1921;2008;1960;;0;31
